id,category,variant,description,width,height,svg,png_1x,png_2x
icon_plus_square,icons,base,Square plus node.,256,256,assets/svg/icons/icon_plus_square.svg,assets/png/1x/icons/icon_plus_square.png,assets/png/2x/icons/icon_plus_square.png
icon_target_square,icons,base,Square target node.,256,256,assets/svg/icons/icon_target_square.svg,assets/png/1x/icons/icon_target_square.png,assets/png/2x/icons/icon_target_square.png
icon_target_ring,icons,base,Ring target reticle.,256,256,assets/svg/icons/icon_target_ring.svg,assets/png/1x/icons/icon_target_ring.png,assets/png/2x/icons/icon_target_ring.png
icon_crosshair,icons,base,Thin crosshair marker.,256,256,assets/svg/icons/icon_crosshair.svg,assets/png/1x/icons/icon_crosshair.png,assets/png/2x/icons/icon_crosshair.png
icon_reticle,icons,base,Four-corner targeting reticle.,256,256,assets/svg/icons/icon_reticle.svg,assets/png/1x/icons/icon_reticle.png,assets/png/2x/icons/icon_reticle.png
icon_warning_red,icons,base,Red warning triangle.,256,256,assets/svg/icons/icon_warning_red.svg,assets/png/1x/icons/icon_warning_red.png,assets/png/2x/icons/icon_warning_red.png
icon_warning_yellow,icons,base,Yellow warning triangle.,256,256,assets/svg/icons/icon_warning_yellow.svg,assets/png/1x/icons/icon_warning_yellow.png,assets/png/2x/icons/icon_warning_yellow.png
icon_diamond_system,icons,base,Diamond system emblem.,256,256,assets/svg/icons/icon_diamond_system.svg,assets/png/1x/icons/icon_diamond_system.png,assets/png/2x/icons/icon_diamond_system.png
icon_vent_6,icons,base,Six-port vent cluster.,256,256,assets/svg/icons/icon_vent_6.svg,assets/png/1x/icons/icon_vent_6.png,assets/png/2x/icons/icon_vent_6.png
icon_vent_20,icons,base,Twenty-port vent matrix.,256,256,assets/svg/icons/icon_vent_20.svg,assets/png/1x/icons/icon_vent_20.png,assets/png/2x/icons/icon_vent_20.png
icon_chevron_double,icons,base,Double directional chevron.,256,256,assets/svg/icons/icon_chevron_double.svg,assets/png/1x/icons/icon_chevron_double.png,assets/png/2x/icons/icon_chevron_double.png
icon_down_triangle,icons,base,Down-pointing selector triangle.,256,256,assets/svg/icons/icon_down_triangle.svg,assets/png/1x/icons/icon_down_triangle.png,assets/png/2x/icons/icon_down_triangle.png
icon_cross_joint,icons,base,Mechanical cross joint.,256,256,assets/svg/icons/icon_cross_joint.svg,assets/png/1x/icons/icon_cross_joint.png,assets/png/2x/icons/icon_cross_joint.png
icon_connector_cap,icons,base,Red connector cap.,256,256,assets/svg/icons/icon_connector_cap.svg,assets/png/1x/icons/icon_connector_cap.png,assets/png/2x/icons/icon_connector_cap.png
icon_round_socket,icons,base,Round socket node.,256,256,assets/svg/icons/icon_round_socket.svg,assets/png/1x/icons/icon_round_socket.png,assets/png/2x/icons/icon_round_socket.png
rail_horizontal_white,rails_scrollbars,blank,Thin white horizontal rail with red end cap.,1200,128,assets/svg/rails_scrollbars/rail_horizontal_white.svg,assets/png/1x/rails_scrollbars/rail_horizontal_white.png,assets/png/2x/rails_scrollbars/rail_horizontal_white.png
rail_horizontal_red_nodes,rails_scrollbars,blank,Heavy red rail with three hardware nodes.,1200,160,assets/svg/rails_scrollbars/rail_horizontal_red_nodes.svg,assets/png/1x/rails_scrollbars/rail_horizontal_red_nodes.png,assets/png/2x/rails_scrollbars/rail_horizontal_red_nodes.png
rail_horizontal_dual,rails_scrollbars,blank,Dual white and red horizontal rail.,1200,180,assets/svg/rails_scrollbars/rail_horizontal_dual.svg,assets/png/1x/rails_scrollbars/rail_horizontal_dual.png,assets/png/2x/rails_scrollbars/rail_horizontal_dual.png
rail_vertical_white,rails_scrollbars,blank,Thin white vertical rail.,128,1200,assets/svg/rails_scrollbars/rail_vertical_white.svg,assets/png/1x/rails_scrollbars/rail_vertical_white.png,assets/png/2x/rails_scrollbars/rail_vertical_white.png
rail_vertical_red_nodes,rails_scrollbars,blank,Heavy red vertical rail with nodes.,160,1200,assets/svg/rails_scrollbars/rail_vertical_red_nodes.svg,assets/png/1x/rails_scrollbars/rail_vertical_red_nodes.png,assets/png/2x/rails_scrollbars/rail_vertical_red_nodes.png
brace_diagonal_up,rails_scrollbars,blank,Upward diagonal structural brace.,1200,500,assets/svg/rails_scrollbars/brace_diagonal_up.svg,assets/png/1x/rails_scrollbars/brace_diagonal_up.png,assets/png/2x/rails_scrollbars/brace_diagonal_up.png
brace_diagonal_down,rails_scrollbars,blank,Downward diagonal structural brace.,1200,500,assets/svg/rails_scrollbars/brace_diagonal_down.svg,assets/png/1x/rails_scrollbars/brace_diagonal_down.png,assets/png/2x/rails_scrollbars/brace_diagonal_down.png
scrollbar_horizontal_blank,rails_scrollbars,blank,Empty horizontal scrollbar.,1200,128,assets/svg/rails_scrollbars/scrollbar_horizontal_blank.svg,assets/png/1x/rails_scrollbars/scrollbar_horizontal_blank.png,assets/png/2x/rails_scrollbars/scrollbar_horizontal_blank.png
scrollbar_horizontal_active,rails_scrollbars,active,Horizontal scrollbar with red active region.,1200,128,assets/svg/rails_scrollbars/scrollbar_horizontal_active.svg,assets/png/1x/rails_scrollbars/scrollbar_horizontal_active.png,assets/png/2x/rails_scrollbars/scrollbar_horizontal_active.png
scrollbar_vertical_blank,rails_scrollbars,blank,Empty vertical scrollbar.,128,800,assets/svg/rails_scrollbars/scrollbar_vertical_blank.svg,assets/png/1x/rails_scrollbars/scrollbar_vertical_blank.png,assets/png/2x/rails_scrollbars/scrollbar_vertical_blank.png
scrollbar_vertical_active,rails_scrollbars,active,Vertical scrollbar with red active region.,128,800,assets/svg/rails_scrollbars/scrollbar_vertical_active.svg,assets/png/1x/rails_scrollbars/scrollbar_vertical_active.png,assets/png/2x/rails_scrollbars/scrollbar_vertical_active.png
rail_cross_joint,rails_scrollbars,blank,Four-way rail joint.,256,256,assets/svg/rails_scrollbars/rail_cross_joint.svg,assets/png/1x/rails_scrollbars/rail_cross_joint.png,assets/png/2x/rails_scrollbars/rail_cross_joint.png
countdown_bar_blank,countdown,blank,Twelve-segment countdown track without labels.,1600,300,assets/svg/countdown/countdown_bar_blank.svg,assets/png/1x/countdown/countdown_bar_blank.png,assets/png/2x/countdown/countdown_bar_blank.png
countdown_bar_25,countdown,active,Countdown bar at 25%.,1600,300,assets/svg/countdown/countdown_bar_25.svg,assets/png/1x/countdown/countdown_bar_25.png,assets/png/2x/countdown/countdown_bar_25.png
countdown_bar_50,countdown,active,Countdown bar at 50%.,1600,300,assets/svg/countdown/countdown_bar_50.svg,assets/png/1x/countdown/countdown_bar_50.png,assets/png/2x/countdown/countdown_bar_50.png
countdown_bar_75,countdown,active,Countdown bar at 75%.,1600,300,assets/svg/countdown/countdown_bar_75.svg,assets/png/1x/countdown/countdown_bar_75.png,assets/png/2x/countdown/countdown_bar_75.png
countdown_bar_100,countdown,active,Countdown bar at 100%.,1600,300,assets/svg/countdown/countdown_bar_100.svg,assets/png/1x/countdown/countdown_bar_100.png,assets/png/2x/countdown/countdown_bar_100.png
countdown_bar_t06_labeled,countdown,labeled,Source-inspired AUTO BOOT T-06 countdown.,1600,300,assets/svg/countdown/countdown_bar_t06_labeled.svg,assets/png/1x/countdown/countdown_bar_t06_labeled.png,assets/png/2x/countdown/countdown_bar_t06_labeled.png
countdown_segment_red,countdown,base,Single red countdown segment.,256,96,assets/svg/countdown/countdown_segment_red.svg,assets/png/1x/countdown/countdown_segment_red.png,assets/png/2x/countdown/countdown_segment_red.png
countdown_segment_white,countdown,base,Single white countdown segment.,256,96,assets/svg/countdown/countdown_segment_white.svg,assets/png/1x/countdown/countdown_segment_white.png,assets/png/2x/countdown/countdown_segment_white.png
countdown_segment_empty,countdown,base,Single empty countdown segment.,256,96,assets/svg/countdown/countdown_segment_empty.svg,assets/png/1x/countdown/countdown_segment_empty.png,assets/png/2x/countdown/countdown_segment_empty.png
countdown_scale_blank,countdown,blank,Countdown tick scale without labels.,1600,160,assets/svg/countdown/countdown_scale_blank.svg,assets/png/1x/countdown/countdown_scale_blank.png,assets/png/2x/countdown/countdown_scale_blank.png
countdown_scale_labeled,countdown,labeled,Countdown tick scale labeled in seconds.,1600,160,assets/svg/countdown/countdown_scale_labeled.svg,assets/png/1x/countdown/countdown_scale_labeled.png,assets/png/2x/countdown/countdown_scale_labeled.png
countdown_label_blank,countdown,blank,Angular countdown label plate.,704,128,assets/svg/countdown/countdown_label_blank.svg,assets/png/1x/countdown/countdown_label_blank.png,assets/png/2x/countdown/countdown_label_blank.png
countdown_label_auto_boot_t06,countdown,labeled,AUTO BOOT T-06 label plate.,704,128,assets/svg/countdown/countdown_label_auto_boot_t06.svg,assets/png/1x/countdown/countdown_label_auto_boot_t06.png,assets/png/2x/countdown/countdown_label_auto_boot_t06.png
overlay_id_top_right_blank,overlays,blank,Top-right identity plate without text.,560,360,assets/svg/overlays/overlay_id_top_right_blank.svg,assets/png/1x/overlays/overlay_id_top_right_blank.png,assets/png/2x/overlays/overlay_id_top_right_blank.png
overlay_id_top_right_labeled,overlays,labeled,Top-right identity plate with 谷-704 and registry barcode.,560,360,assets/svg/overlays/overlay_id_top_right_labeled.svg,assets/png/1x/overlays/overlay_id_top_right_labeled.png,assets/png/2x/overlays/overlay_id_top_right_labeled.png
overlay_id_lower_left_blank,overlays,blank,Lower-left identity plate without text.,650,390,assets/svg/overlays/overlay_id_lower_left_blank.svg,assets/png/1x/overlays/overlay_id_lower_left_blank.png,assets/png/2x/overlays/overlay_id_lower_left_blank.png
overlay_id_lower_left_labeled,overlays,labeled,Lower-left TSUGUMORI identity plate.,650,390,assets/svg/overlays/overlay_id_lower_left_labeled.svg,assets/png/1x/overlays/overlay_id_lower_left_labeled.png,assets/png/2x/overlays/overlay_id_lower_left_labeled.png
overlay_serial_blank,overlays,blank,Serial readout plate without text.,540,260,assets/svg/overlays/overlay_serial_blank.svg,assets/png/1x/overlays/overlay_serial_blank.png,assets/png/2x/overlays/overlay_serial_blank.png
overlay_serial_labeled,overlays,labeled,Serial/class/node readout.,540,260,assets/svg/overlays/overlay_serial_labeled.svg,assets/png/1x/overlays/overlay_serial_labeled.png,assets/png/2x/overlays/overlay_serial_labeled.png
overlay_coordinates_blank,overlays,blank,Coordinate/date readout plate without text.,460,250,assets/svg/overlays/overlay_coordinates_blank.svg,assets/png/1x/overlays/overlay_coordinates_blank.png,assets/png/2x/overlays/overlay_coordinates_blank.png
overlay_coordinates_labeled,overlays,labeled,Coordinate/date readout.,460,250,assets/svg/overlays/overlay_coordinates_labeled.svg,assets/png/1x/overlays/overlay_coordinates_labeled.png,assets/png/2x/overlays/overlay_coordinates_labeled.png
overlay_panel_callout_blank,overlays,blank,Panel callout plate without text.,720,260,assets/svg/overlays/overlay_panel_callout_blank.svg,assets/png/1x/overlays/overlay_panel_callout_blank.png,assets/png/2x/overlays/overlay_panel_callout_blank.png
overlay_panel_callout_labeled,overlays,labeled,Panel callout plate with technical labels.,720,260,assets/svg/overlays/overlay_panel_callout_labeled.svg,assets/png/1x/overlays/overlay_panel_callout_labeled.png,assets/png/2x/overlays/overlay_panel_callout_labeled.png
overlay_footer_blank,overlays,blank,Bottom footer line without text.,1600,110,assets/svg/overlays/overlay_footer_blank.svg,assets/png/1x/overlays/overlay_footer_blank.png,assets/png/2x/overlays/overlay_footer_blank.png
overlay_footer_labeled,overlays,labeled,Footer line with three labels.,1600,110,assets/svg/overlays/overlay_footer_labeled.svg,assets/png/1x/overlays/overlay_footer_labeled.png,assets/png/2x/overlays/overlay_footer_labeled.png
overlay_diagnostic_stack_blank,overlays,blank,Diagnostic stack panel without data.,420,360,assets/svg/overlays/overlay_diagnostic_stack_blank.svg,assets/png/1x/overlays/overlay_diagnostic_stack_blank.png,assets/png/2x/overlays/overlay_diagnostic_stack_blank.png
overlay_diagnostic_stack_labeled,overlays,labeled,Compact diagnostic bar stack.,420,360,assets/svg/overlays/overlay_diagnostic_stack_labeled.svg,assets/png/1x/overlays/overlay_diagnostic_stack_labeled.png,assets/png/2x/overlays/overlay_diagnostic_stack_labeled.png
micro_barcode_short,micrographics,base,Short white barcode with red baseline.,456,132,assets/svg/micrographics/micro_barcode_short.svg,assets/png/1x/micrographics/micro_barcode_short.png,assets/png/2x/micrographics/micro_barcode_short.png
micro_barcode_long,micrographics,base,Long white barcode with red baseline.,796,148,assets/svg/micrographics/micro_barcode_long.svg,assets/png/1x/micrographics/micro_barcode_long.png,assets/png/2x/micrographics/micro_barcode_long.png
micro_hatch_patch,micrographics,base,Diagonal industrial hatch patch.,560,192,assets/svg/micrographics/micro_hatch_patch.svg,assets/png/1x/micrographics/micro_hatch_patch.png,assets/png/2x/micrographics/micro_hatch_patch.png
micro_perforation_grid,micrographics,base,Thirty-two-dot perforation grid.,360,216,assets/svg/micrographics/micro_perforation_grid.svg,assets/png/1x/micrographics/micro_perforation_grid.png,assets/png/2x/micrographics/micro_perforation_grid.png
micro_diagnostic_bars,micrographics,base,Stacked diagnostic bars.,420,276,assets/svg/micrographics/micro_diagnostic_bars.svg,assets/png/1x/micrographics/micro_diagnostic_bars.png,assets/png/2x/micrographics/micro_diagnostic_bars.png
micro_metal_panel_white_large,micrographics,base,Large white angular metal panel fragment.,640,360,assets/svg/micrographics/micro_metal_panel_white_large.svg,assets/png/1x/micrographics/micro_metal_panel_white_large.png,assets/png/2x/micrographics/micro_metal_panel_white_large.png
micro_metal_panel_white_small,micrographics,base,Small white angular metal panel fragment.,456,276,assets/svg/micrographics/micro_metal_panel_white_small.svg,assets/png/1x/micrographics/micro_metal_panel_white_small.png,assets/png/2x/micrographics/micro_metal_panel_white_small.png
micro_metal_panel_red,micrographics,base,Red angular metal panel fragment.,520,330,assets/svg/micrographics/micro_metal_panel_red.svg,assets/png/1x/micrographics/micro_metal_panel_red.png,assets/png/2x/micrographics/micro_metal_panel_red.png
micro_pointer_callout,micrographics,base,Thin pointer/callout line.,720,96,assets/svg/micrographics/micro_pointer_callout.svg,assets/png/1x/micrographics/micro_pointer_callout.png,assets/png/2x/micrographics/micro_pointer_callout.png
micro_label_tag_blank,micrographics,blank,Blank red label tag with hatch patch.,384,124,assets/svg/micrographics/micro_label_tag_blank.svg,assets/png/1x/micrographics/micro_label_tag_blank.png,assets/png/2x/micrographics/micro_label_tag_blank.png
micro_corner_cross,micrographics,base,Small corner registration cross.,128,128,assets/svg/micrographics/micro_corner_cross.svg,assets/png/1x/micrographics/micro_corner_cross.png,assets/png/2x/micrographics/micro_corner_cross.png
micro_data_lines,micrographics,base,Tiny variable-width data lines.,420,240,assets/svg/micrographics/micro_data_lines.svg,assets/png/1x/micrographics/micro_data_lines.png,assets/png/2x/micrographics/micro_data_lines.png
micro_code_grid,micrographics,base,Compact machine-code square grid.,220,220,assets/svg/micrographics/micro_code_grid.svg,assets/png/1x/micrographics/micro_code_grid.png,assets/png/2x/micrographics/micro_code_grid.png
micro_serial_box_blank,micrographics,blank,Blank serial-data box.,360,184,assets/svg/micrographics/micro_serial_box_blank.svg,assets/png/1x/micrographics/micro_serial_box_blank.png,assets/png/2x/micrographics/micro_serial_box_blank.png
micro_serial_box_labeled,micrographics,labeled,Labeled serial-data box.,360,184,assets/svg/micrographics/micro_serial_box_labeled.svg,assets/png/1x/micrographics/micro_serial_box_labeled.png,assets/png/2x/micrographics/micro_serial_box_labeled.png
generated_plus_node,generated_micrographics,generated,Distressed circular plus node generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_plus_node.png,assets/png/2x/generated_micrographics/generated_plus_node.png
generated_target_square,generated_micrographics,generated,Distressed square target node generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_target_square.png,assets/png/2x/generated_micrographics/generated_target_square.png
generated_crosshair,generated_micrographics,generated,White mechanical crosshair generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_crosshair.png,assets/png/2x/generated_micrographics/generated_crosshair.png
generated_ring_target,generated_micrographics,generated,Mechanical ring target generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_ring_target.png,assets/png/2x/generated_micrographics/generated_ring_target.png
generated_warning_red,generated_micrographics,generated,Distressed red warning triangle generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_warning_red.png,assets/png/2x/generated_micrographics/generated_warning_red.png
generated_warning_yellow,generated_micrographics,generated,Distressed yellow warning triangle generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_warning_yellow.png,assets/png/2x/generated_micrographics/generated_warning_yellow.png
generated_diamond_emblem,generated_micrographics,generated,Mechanical diamond emblem generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_diamond_emblem.png,assets/png/2x/generated_micrographics/generated_diamond_emblem.png
generated_vent_cluster,generated_micrographics,generated,Six-port metal vent cluster generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_vent_cluster.png,assets/png/2x/generated_micrographics/generated_vent_cluster.png
generated_barcode_fragment,generated_micrographics,generated,Ribbed barcode-like fragment generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_barcode_fragment.png,assets/png/2x/generated_micrographics/generated_barcode_fragment.png
generated_hatch_patch,generated_micrographics,generated,White diagonal hatch fragment generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_hatch_patch.png,assets/png/2x/generated_micrographics/generated_hatch_patch.png
generated_connector_cap,generated_micrographics,generated,Red target connector cap generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_connector_cap.png,assets/png/2x/generated_micrographics/generated_connector_cap.png
generated_chevron,generated_micrographics,generated,Red and white double chevron generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_chevron.png,assets/png/2x/generated_micrographics/generated_chevron.png
generated_white_panel_shard,generated_micrographics,generated,White angular panel shard generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_white_panel_shard.png,assets/png/2x/generated_micrographics/generated_white_panel_shard.png
generated_red_panel_shard,generated_micrographics,generated,Red angular panel shard generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_red_panel_shard.png,assets/png/2x/generated_micrographics/generated_red_panel_shard.png
generated_diagnostic_stack,generated_micrographics,generated,Stacked diagnostic bars generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_diagnostic_stack.png,assets/png/2x/generated_micrographics/generated_diagnostic_stack.png
generated_reticle,generated_micrographics,generated,Four-direction reticle generated from the reference style.,512,512,,assets/png/1x/generated_micrographics/generated_reticle.png,assets/png/2x/generated_micrographics/generated_reticle.png
