category,id,variant,file,width,height,description,source_visible,alpha
03_nodes,node_14,blank,03_nodes/node_14_blank.png,250,152,Node 14 cluster.,True,True
03_nodes,node_14,labeled,03_nodes/node_14_labeled.png,250,152,Node 14 cluster.,True,True
03_nodes,node_15,blank,03_nodes/node_15_blank.png,250,152,Node 15 cluster.,False,True
03_nodes,node_15,labeled,03_nodes/node_15_labeled.png,250,152,Node 15 cluster.,False,True
03_nodes,node_16,blank,03_nodes/node_16_blank.png,250,152,Node 16 cluster.,True,True
03_nodes,node_16,labeled,03_nodes/node_16_labeled.png,250,152,Node 16 cluster.,True,True
03_nodes,node_17,blank,03_nodes/node_17_blank.png,250,152,Node 17 cluster.,True,True
03_nodes,node_17,labeled,03_nodes/node_17_labeled.png,250,152,Node 17 cluster.,True,True
03_nodes,generic_circle_idle,blank,03_nodes/generic_circle_idle_blank.png,250,152,Generic circle idle node.,True,True
03_nodes,generic_circle_idle,labeled,03_nodes/generic_circle_idle_labeled.png,250,152,Generic circle idle node.,True,True
03_nodes,generic_circle_active,blank,03_nodes/generic_circle_active_blank.png,250,152,Generic circle active node.,True,True
03_nodes,generic_circle_active,labeled,03_nodes/generic_circle_active_labeled.png,250,152,Generic circle active node.,True,True
03_nodes,generic_square_idle,blank,03_nodes/generic_square_idle_blank.png,250,152,Generic square idle node.,True,True
03_nodes,generic_square_idle,labeled,03_nodes/generic_square_idle_labeled.png,250,152,Generic square idle node.,True,True
03_nodes,generic_cross_junction,blank,03_nodes/generic_cross_junction_blank.png,250,152,Generic cross junction node.,True,True
03_nodes,generic_cross_junction,labeled,03_nodes/generic_cross_junction_labeled.png,250,152,Generic cross junction node.,True,True
04_countdown,countdown_strip,blank,04_countdown/countdown_strip_blank.png,520,130,Eight-position auto-launch countdown.,True,True
04_countdown,countdown_strip,labeled,04_countdown/countdown_strip_labeled.png,520,130,Eight-position auto-launch countdown.,True,True
04_countdown,countdown_slot_00,blank,04_countdown/countdown_slot_00_blank.png,78,92,Countdown slot 00.,True,True
04_countdown,countdown_slot_00,labeled,04_countdown/countdown_slot_00_labeled.png,78,92,Countdown slot 00.,True,True
04_countdown,countdown_slot_01,blank,04_countdown/countdown_slot_01_blank.png,78,92,Countdown slot 01.,True,True
04_countdown,countdown_slot_01,labeled,04_countdown/countdown_slot_01_labeled.png,78,92,Countdown slot 01.,True,True
04_countdown,countdown_slot_02,blank,04_countdown/countdown_slot_02_blank.png,78,92,Countdown slot 02.,True,True
04_countdown,countdown_slot_02,labeled,04_countdown/countdown_slot_02_labeled.png,78,92,Countdown slot 02.,True,True
04_countdown,countdown_slot_03,blank,04_countdown/countdown_slot_03_blank.png,78,92,Countdown slot 03.,True,True
04_countdown,countdown_slot_03,labeled,04_countdown/countdown_slot_03_labeled.png,78,92,Countdown slot 03.,True,True
04_countdown,countdown_slot_04,blank,04_countdown/countdown_slot_04_blank.png,78,92,Countdown slot 04.,True,True
04_countdown,countdown_slot_04,labeled,04_countdown/countdown_slot_04_labeled.png,78,92,Countdown slot 04.,True,True
04_countdown,countdown_slot_05,blank,04_countdown/countdown_slot_05_blank.png,78,92,Countdown slot 05.,True,True
04_countdown,countdown_slot_05,labeled,04_countdown/countdown_slot_05_labeled.png,78,92,Countdown slot 05.,True,True
04_countdown,countdown_slot_06,blank,04_countdown/countdown_slot_06_blank.png,78,92,Countdown slot 06.,True,True
04_countdown,countdown_slot_06,labeled,04_countdown/countdown_slot_06_labeled.png,78,92,Countdown slot 06.,True,True
04_countdown,countdown_slot_07,blank,04_countdown/countdown_slot_07_blank.png,78,92,Countdown slot 07.,True,True
04_countdown,countdown_slot_07,labeled,04_countdown/countdown_slot_07_labeled.png,78,92,Countdown slot 07.,True,True
05_icons,warning_triangle,blank,05_icons/warning_triangle_blank.png,220,110,Caution icon/control.,True,True
05_icons,warning_triangle,labeled,05_icons/warning_triangle_labeled.png,220,110,Caution icon/control.,True,True
05_icons,crosshair,blank,05_icons/crosshair_blank.png,220,110,Crosshair icon/control.,True,True
05_icons,crosshair,labeled,05_icons/crosshair_labeled.png,220,110,Crosshair icon/control.,True,True
05_icons,active_target,blank,05_icons/active_target_blank.png,220,110,Enter Boot icon/control.,True,True
05_icons,active_target,labeled,05_icons/active_target_labeled.png,220,110,Enter Boot icon/control.,True,True
05_icons,part_mark,blank,05_icons/part_mark_blank.png,220,110,Part Mark icon/control.,True,True
05_icons,part_mark,labeled,05_icons/part_mark_labeled.png,220,110,Part Mark icon/control.,True,True
05_icons,plus_mark,blank,05_icons/plus_mark_blank.png,220,110,Plus icon/control.,True,True
05_icons,plus_mark,labeled,05_icons/plus_mark_labeled.png,220,110,Plus icon/control.,True,True
05_icons,junction_square,blank,05_icons/junction_square_blank.png,220,110,Junction icon/control.,True,True
05_icons,junction_square,labeled,05_icons/junction_square_labeled.png,220,110,Junction icon/control.,True,True
05_icons,junction_dot,blank,05_icons/junction_dot_blank.png,220,110,Node icon/control.,True,True
05_icons,junction_dot,labeled,05_icons/junction_dot_labeled.png,220,110,Node icon/control.,True,True
05_icons,arrow_right,blank,05_icons/arrow_right_blank.png,220,110,Right icon/control.,True,True
05_icons,arrow_right,labeled,05_icons/arrow_right_labeled.png,220,110,Right icon/control.,True,True
05_icons,arrow_left,blank,05_icons/arrow_left_blank.png,220,110,Left icon/control.,True,True
05_icons,arrow_left,labeled,05_icons/arrow_left_labeled.png,220,110,Left icon/control.,True,True
05_icons,arrow_up,blank,05_icons/arrow_up_blank.png,220,110,Up icon/control.,True,True
05_icons,arrow_up,labeled,05_icons/arrow_up_labeled.png,220,110,Up icon/control.,True,True
05_icons,arrow_down,blank,05_icons/arrow_down_blank.png,220,110,Down icon/control.,True,True
05_icons,arrow_down,labeled,05_icons/arrow_down_labeled.png,220,110,Down icon/control.,True,True
05_icons,navigate,blank,05_icons/navigate_blank.png,220,110,Navigate icon/control.,True,True
05_icons,navigate,labeled,05_icons/navigate_labeled.png,220,110,Navigate icon/control.,True,True
05_icons,keycap_e,blank,05_icons/keycap_e_blank.png,250,72,E keycap and edit action.,True,True
05_icons,keycap_e,labeled,05_icons/keycap_e_labeled.png,250,72,E keycap and edit action.,True,True
05_icons,keycap_c,blank,05_icons/keycap_c_blank.png,250,72,C keycap and console action.,True,True
05_icons,keycap_c,labeled,05_icons/keycap_c_labeled.png,250,72,C keycap and console action.,True,True
06_connectors,horizontal,blank,06_connectors/horizontal_blank.png,330,96,Link H connector segment.,True,True
06_connectors,horizontal,labeled,06_connectors/horizontal_labeled.png,330,96,Link H connector segment.,True,True
06_connectors,vertical,blank,06_connectors/vertical_blank.png,330,96,Link V connector segment.,True,True
06_connectors,vertical,labeled,06_connectors/vertical_labeled.png,330,96,Link V connector segment.,True,True
06_connectors,diagonal_up,blank,06_connectors/diagonal_up_blank.png,330,96,Uplink connector segment.,True,True
06_connectors,diagonal_up,labeled,06_connectors/diagonal_up_labeled.png,330,96,Uplink connector segment.,True,True
06_connectors,diagonal_down,blank,06_connectors/diagonal_down_blank.png,330,96,Downlink connector segment.,True,True
06_connectors,diagonal_down,labeled,06_connectors/diagonal_down_labeled.png,330,96,Downlink connector segment.,True,True
06_connectors,elbow,blank,06_connectors/elbow_blank.png,330,96,Elbow connector segment.,True,True
06_connectors,elbow,labeled,06_connectors/elbow_labeled.png,330,96,Elbow connector segment.,True,True
06_connectors,fork,blank,06_connectors/fork_blank.png,330,96,Fork connector segment.,True,True
06_connectors,fork,labeled,06_connectors/fork_labeled.png,330,96,Fork connector segment.,True,True
06_connectors,arrow_inline,blank,06_connectors/arrow_inline_blank.png,330,96,Direction connector segment.,True,True
06_connectors,arrow_inline,labeled,06_connectors/arrow_inline_labeled.png,330,96,Direction connector segment.,True,True
06_connectors,dashed,blank,06_connectors/dashed_blank.png,330,96,Dashed connector segment.,True,True
06_connectors,dashed,labeled,06_connectors/dashed_labeled.png,330,96,Dashed connector segment.,True,True
07_scrollbars,horizontal_scrollbar,blank,07_scrollbars/horizontal_scrollbar_blank.png,520,52,Horizontal segmented scrollbar.,False,True
07_scrollbars,horizontal_scrollbar,labeled,07_scrollbars/horizontal_scrollbar_labeled.png,520,52,Horizontal segmented scrollbar.,False,True
07_scrollbars,vertical_scrollbar,blank,07_scrollbars/vertical_scrollbar_blank.png,52,520,Vertical segmented scrollbar.,False,True
07_scrollbars,vertical_scrollbar,labeled,07_scrollbars/vertical_scrollbar_labeled.png,52,520,Vertical segmented scrollbar.,False,True
08_overlays,scanlines,blank,08_overlays/scanlines_blank.png,2048,1152,Subtle transparent scanline overlay.,True,True
08_overlays,scanlines,labeled,08_overlays/scanlines_labeled.png,2048,1152,Subtle transparent scanline overlay.,True,True
08_overlays,network_map,blank,08_overlays/network_map_blank.png,1948,875,Central node-network overlay.,True,True
08_overlays,network_map,labeled,08_overlays/network_map_labeled.png,1948,875,Central node-network overlay.,True,True
09_barcodes,checksum_wide,blank,09_barcodes/checksum_wide_blank.png,360,130,Decorative encoded stripe graphic for checksum wide.,True,True
09_barcodes,checksum_wide,labeled,09_barcodes/checksum_wide_labeled.png,360,130,Decorative encoded stripe graphic for checksum wide.,True,True
09_barcodes,serial_narrow,blank,09_barcodes/serial_narrow_blank.png,340,150,Decorative encoded stripe graphic for serial narrow.,True,True
09_barcodes,serial_narrow,labeled,09_barcodes/serial_narrow_labeled.png,340,150,Decorative encoded stripe graphic for serial narrow.,True,True
09_barcodes,micro_code,blank,09_barcodes/micro_code_blank.png,240,110,Decorative encoded stripe graphic for micro code.,True,True
09_barcodes,micro_code,labeled,09_barcodes/micro_code_labeled.png,240,110,Decorative encoded stripe graphic for micro code.,True,True
10_micrographics,micro_warning,blank,10_micrographics/micro_warning_blank.png,220,110,WARN micrographic.,True,True
10_micrographics,micro_warning,labeled,10_micrographics/micro_warning_labeled.png,220,110,WARN micrographic.,True,True
10_micrographics,micro_crosshair,blank,10_micrographics/micro_crosshair_blank.png,220,110,REF micrographic.,True,True
10_micrographics,micro_crosshair,labeled,10_micrographics/micro_crosshair_labeled.png,220,110,REF micrographic.,True,True
10_micrographics,micro_target,blank,10_micrographics/micro_target_blank.png,220,110,ACTIVE micrographic.,True,True
10_micrographics,micro_target,labeled,10_micrographics/micro_target_labeled.png,220,110,ACTIVE micrographic.,True,True
10_micrographics,micro_tick_cluster,blank,10_micrographics/micro_tick_cluster_blank.png,220,110,TICKS micrographic.,True,True
10_micrographics,micro_tick_cluster,labeled,10_micrographics/micro_tick_cluster_labeled.png,220,110,TICKS micrographic.,True,True
10_micrographics,micro_endpoint,blank,10_micrographics/micro_endpoint_blank.png,220,110,END micrographic.,True,True
10_micrographics,micro_endpoint,labeled,10_micrographics/micro_endpoint_labeled.png,220,110,END micrographic.,True,True
10_micrographics,micro_dashed_drop,blank,10_micrographics/micro_dashed_drop_blank.png,220,110,DROP micrographic.,True,True
10_micrographics,micro_dashed_drop,labeled,10_micrographics/micro_dashed_drop_labeled.png,220,110,DROP micrographic.,True,True
10_micrographics,corner_top_left,blank,10_micrographics/corner_top_left_blank.png,220,110,TL micrographic.,True,True
10_micrographics,corner_top_left,labeled,10_micrographics/corner_top_left_labeled.png,220,110,TL micrographic.,True,True
10_micrographics,corner_top_right,blank,10_micrographics/corner_top_right_blank.png,220,110,TR micrographic.,True,True
10_micrographics,corner_top_right,labeled,10_micrographics/corner_top_right_labeled.png,220,110,TR micrographic.,True,True
10_micrographics,corner_bottom_left,blank,10_micrographics/corner_bottom_left_blank.png,220,110,BL micrographic.,True,True
10_micrographics,corner_bottom_left,labeled,10_micrographics/corner_bottom_left_labeled.png,220,110,BL micrographic.,True,True
10_micrographics,corner_bottom_right,blank,10_micrographics/corner_bottom_right_blank.png,220,110,BR micrographic.,True,True
10_micrographics,corner_bottom_right,labeled,10_micrographics/corner_bottom_right_labeled.png,220,110,BR micrographic.,True,True
